match_id,referee,fourthOfficial,firstAssistant,secondAssistant,season_id,home_id,away_id,label,dateutc,winner,loser,home_team,away_team,home_logo,away_logo
5282839,M. Bellote,,,,187701,16198,16170,"Youssoufia Berrechid - FAR Rabat, 0 - 1",2022-05-20 16:30:00,FAR Rabat,Youssoufia Berrechid,Youssoufia Berrechid,FAR Rabat,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png
5021591,T. Hicham,Mouhcine Sordy,,,185923,16179,16178,"Olympic Safi - Khouribga, 1 - 1",2019-09-14 15:00:00,,,Olympic Safi,Khouribga,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png,https://cdn5.wyscout.com/photos/team/public/2301_120x120.png
2634629,A. Zourak,,,,181442,16185,16175,"Difaâ El Jadida - Kawkab Marrakech, 1 - 0",2017-12-17 17:00:00,Difaâ El Jadida,Kawkab Marrakech,Difaâ El Jadida,Kawkab Marrakech,https://cdn5.wyscout.com/photos/team/public/2309_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3468_120x120.png
5523389,K. Sabry,A. Mohamed,,,189260,16198,16196,"Youssoufia Berrechid - RSB Berkane, 0 - 0",2024-03-13 22:00:00,,,Youssoufia Berrechid,RSB Berkane,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png
5187414,H. El Fariq,Tarek Al Moutamni,,,186508,16179,16198,"Olympic Safi - Youssoufia Berrechid, 1 - 1",2021-05-22 20:30:00,,,Olympic Safi,Youssoufia Berrechid,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png
5282706,H. El Fariq,O. Chedad,,,187701,16168,16171,"Chabab Mohammédia - Hassania Agadir, 2 - 0",2021-10-29 17:15:00,Chabab Mohammédia,Hassania Agadir,Chabab Mohammédia,Hassania Agadir,https://cdn5.wyscout.com/photos/team/public/3237_120x120.png,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png
5028026,A. Zourak,Z. Moncef,,,185923,16183,16177,"Wydad Casablanca - Mouloudia Oujda, 1 - 1",2020-07-28 21:00:00,,,Wydad Casablanca,Mouloudia Oujda,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3470_120x120.png
2775401,A. El Yaakoubi,Z. Moncef,,,185922,16183,16195,"Wydad Casablanca - FUS Rabat, 3 - 0",2018-11-26 18:00:00,Wydad Casablanca,FUS Rabat,Wydad Casablanca,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
5523366,T. Youssef,Mouhcine Sordy,,,189260,60275,16170,"Khemis Zemamra - FAR Rabat, 0 - 1",2024-02-14 15:00:00,FAR Rabat,Khemis Zemamra,Khemis Zemamra,FAR Rabat,https://cdn5.wyscout.com/photos/team/public/g39043_120x120.png,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png
2775952,J. Belbassri,A. El Yaakoubi,,,185922,16196,22864,"RSB Berkane - Rapide Oued Zem, 2 - 2",2019-06-11 18:00:00,,,RSB Berkane,Rapide Oued Zem,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/g22136_120x120.png
5282881,A. Errakhis,T. Youssef,,,187701,16196,16168,"RSB Berkane - Chabab Mohammédia, 3 - 1",2022-06-29 19:30:00,RSB Berkane,Chabab Mohammédia,RSB Berkane,Chabab Mohammédia,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/3237_120x120.png
5395175,H. El Fariq,M. Lahouidri,,,188370,16179,16177,"Olympic Safi - Mouloudia Oujda, 1 - 2",2022-10-14 17:15:00,Mouloudia Oujda,Olympic Safi,Olympic Safi,Mouloudia Oujda,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3470_120x120.png
5523448,K. Sabry,M. Kechchaf,,,189260,16180,16183,"Raja Casablanca - Wydad Casablanca, 1 - 0",2024-06-02 17:00:00,Raja Casablanca,Wydad Casablanca,Raja Casablanca,Wydad Casablanca,https://cdn5.wyscout.com/photos/team/public/2298_120x120.png,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png
5187290,T. Hicham,D. Rdad,,,186508,16195,16173,"FUS Rabat - Ittihad Tanger, 0 - 1",2020-12-13 18:30:00,Ittihad Tanger,FUS Rabat,FUS Rabat,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png
5021895,M. Nhayeh,A. Mohamed,,,185923,16178,16170,"Khouribga - FAR Rabat, 0 - 1",2019-12-29 14:00:00,FAR Rabat,Khouribga,Khouribga,FAR Rabat,https://cdn5.wyscout.com/photos/team/public/2301_120x120.png,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png
5187443,N. Benrkiya,H. Errahmani,,,186508,16196,16183,"RSB Berkane - Wydad Casablanca, 0 - 2",2021-06-22 20:30:00,Wydad Casablanca,RSB Berkane,RSB Berkane,Wydad Casablanca,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png
5028134,J. Belbassri,E. Hamza,,,185923,16198,16170,"Youssoufia Berrechid - FAR Rabat, 2 - 4",2020-09-29 18:00:00,FAR Rabat,Youssoufia Berrechid,Youssoufia Berrechid,FAR Rabat,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png
