season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,8,False,False,543096,16177,16180,25828.0,regular_foul,67,27
infraction,2,15,False,False,267709,16180,16177,573635.0,regular_foul,44,87
infraction,4,23,False,False,707521,16180,16177,489224.0,regular_foul,56,37
infraction,11,34,False,False,543096,16177,16180,25828.0,regular_foul,65,7
infraction,17,54,False,False,25828,16180,16177,573635.0,regular_foul,43,82
infraction,18,42,True,False,582282,16180,16177,285591.0,regular_foul,48,23
infraction,20,29,False,False,707521,16180,16177,489224.0,regular_foul,33,12
infraction,22,10,False,False,285591,16177,16180,25828.0,regular_foul,35,48
infraction,23,3,False,False,707521,16180,16177,145594.0,regular_foul,91,63
infraction,26,38,False,False,707521,16180,16177,285591.0,regular_foul,74,19
infraction,29,36,True,False,257159,16177,16180,,out_of_play_foul,46,13
infraction,32,2,False,False,582282,16180,16177,543096.0,regular_foul,45,92
infraction,36,31,False,False,25828,16180,16177,408001.0,regular_foul,40,63
infraction,37,29,False,False,26232,16180,16177,250180.0,regular_foul,34,44
infraction,39,36,False,False,285591,16177,16180,240412.0,regular_foul,43,52
infraction,41,2,False,False,707521,16180,16177,285591.0,regular_foul,74,8
offside,41,28,,,707521,16180,16177,,,70,35
infraction,42,56,False,False,285591,16177,16180,240412.0,regular_foul,36,79
offside,45,6,,,257159,16177,16180,,,60,10
infraction,49,19,False,False,580562,16180,16177,573635.0,regular_foul,26,71
offside,50,17,,,408001,16177,16180,,,95,41
infraction,50,49,False,False,285591,16177,16180,240412.0,regular_foul,37,94
offside,51,33,,,630188,16180,16177,,,79,61
infraction,62,20,False,False,630188,16180,16177,489672.0,regular_foul,89,10
offside,63,48,,,493006,16177,16180,,,76,66
infraction,66,21,True,False,552660,16177,16180,,out_of_play_foul,70,72
offside,70,55,,,630188,16180,16177,,,57,44
infraction,71,25,False,False,250180,16177,16180,375017.0,regular_foul,76,90
infraction,77,21,False,False,680993,16180,16177,,hand_foul,61,13
infraction,85,15,False,False,489222,16177,16180,564538.0,regular_foul,74,27
infraction,86,37,False,False,408001,16177,16180,432782.0,regular_foul,31,22
infraction,92,17,False,False,25828,16180,16177,126736.0,regular_foul,62,74
