season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,3,0,False,False,543091,16198,16195,369398.0,regular_foul,42,34
infraction,6,22,False,False,582222,16195,16198,533584.0,regular_foul,89,92
infraction,7,3,False,False,582229,16195,16198,513824.0,regular_foul,32,93
infraction,8,4,False,False,513823,16198,16195,582219.0,regular_foul,91,58
infraction,11,25,False,False,145610,16198,16195,437534.0,regular_foul,30,51
infraction,13,58,False,False,582222,16195,16198,26883.0,regular_foul,45,31
infraction,14,53,False,False,510241,16198,16195,582222.0,regular_foul,32,89
infraction,19,21,False,False,26883,16198,16195,582229.0,regular_foul,60,7
infraction,20,56,False,False,582219,16195,16198,,hand_foul,75,92
infraction,23,55,False,False,513824,16198,16195,582219.0,regular_foul,57,10
infraction,24,58,False,False,582222,16195,16198,,hand_foul,89,68
infraction,30,13,False,False,582229,16195,16198,513824.0,regular_foul,27,90
offside,38,10,,,582226,16195,16198,,,63,39
infraction,42,8,False,False,513824,16198,16195,582229.0,regular_foul,32,10
infraction,42,49,False,False,582229,16195,16198,552060.0,regular_foul,63,76
infraction,43,34,False,False,582226,16195,16198,26883.0,regular_foul,57,12
infraction,44,37,False,False,582226,16195,16198,513823.0,regular_foul,65,42
infraction,45,20,False,False,510241,16198,16195,369398.0,regular_foul,28,82
infraction,45,22,False,False,591353,16195,16198,513824.0,regular_foul,30,54
infraction,48,32,False,False,580589,16195,16198,513824.0,regular_foul,39,15
infraction,49,31,False,False,582226,16195,16198,513823.0,regular_foul,71,82
infraction,49,59,False,False,513824,16198,16195,591353.0,regular_foul,69,50
infraction,51,27,False,False,591353,16195,16198,437532.0,regular_foul,67,31
infraction,51,58,False,False,552060,16198,16195,582219.0,regular_foul,71,37
infraction,53,9,False,False,437532,16198,16195,437534.0,regular_foul,45,47
offside,56,1,,,552270,16198,16195,,,74,28
infraction,60,2,False,False,543091,16198,16195,582222.0,regular_foul,54,3
infraction,60,53,False,False,552060,16198,16195,582231.0,regular_foul,94,2
infraction,62,1,False,False,533584,16198,16195,582229.0,regular_foul,58,4
infraction,63,38,False,False,533584,16198,16195,582231.0,regular_foul,91,14
infraction,67,20,False,False,543091,16198,16195,,hand_foul,43,11
infraction,69,27,False,False,437532,16198,16195,591353.0,regular_foul,53,60
offside,70,52,,,552270,16198,16195,,,63,7
infraction,72,39,True,False,552271,16198,16195,582219.0,regular_foul,73,7
infraction,73,52,False,False,513823,16198,16195,582220.0,regular_foul,3,6
infraction,78,31,True,False,437534,16195,16198,552271.0,regular_foul,67,69
infraction,78,55,False,False,447747,16198,16195,580589.0,regular_foul,92,88
infraction,79,6,True,False,437532,16198,16195,591353.0,regular_foul,58,68
offside,81,30,,,582220,16195,16198,,,90,70
infraction,82,22,True,False,145610,16198,16195,552539.0,regular_foul,42,70
infraction,84,40,False,False,591353,16195,16198,552271.0,regular_foul,63,45
infraction,90,35,False,False,591353,16195,16198,447747.0,regular_foul,32,90
