season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,59,False,False,331348,16180,16185,375019.0,regular_foul,77,65
infraction,3,5,False,False,594679,16180,16185,652882.0,regular_foul,57,94
infraction,4,38,False,False,632531,16180,16185,609678.0,regular_foul,82,49
infraction,5,26,False,False,652882,16185,16180,294217.0,regular_foul,97,6
offside,13,21,,,541165,16180,16185,,,61,36
infraction,14,19,False,False,652882,16185,16180,331348.0,regular_foul,67,21
infraction,16,18,False,False,375019,16185,16180,541165.0,regular_foul,32,27
infraction,19,57,False,False,707519,16180,16185,609678.0,regular_foul,45,89
infraction,20,51,True,False,585979,16180,16185,573635.0,regular_foul,21,95
infraction,23,3,False,False,707519,16180,16185,573635.0,regular_foul,56,78
infraction,24,39,False,False,541165,16180,16185,489224.0,regular_foul,86,21
infraction,25,37,False,False,489224,16185,16180,541165.0,regular_foul,55,81
infraction,26,45,False,False,552360,16185,16180,632531.0,regular_foul,73,80
infraction,27,43,False,False,552324,16180,16185,,hand_foul,86,64
infraction,29,50,False,False,594679,16180,16185,652882.0,regular_foul,97,94
infraction,35,29,False,False,552324,16180,16185,573635.0,regular_foul,53,84
infraction,37,11,False,False,541165,16180,16185,552360.0,regular_foul,46,15
offside,42,11,,,552324,16180,16185,,,69,21
infraction,44,9,True,False,375019,16185,16180,541165.0,regular_foul,34,81
offside,47,5,,,541165,16180,16185,,,75,22
infraction,49,12,False,False,552326,16180,16185,552660.0,regular_foul,28,32
infraction,52,39,True,False,489224,16185,16180,552324.0,regular_foul,41,80
offside,57,42,,,541165,16180,16185,,,82,31
infraction,58,43,True,False,707519,16180,16185,573635.0,regular_foul,44,44
infraction,60,17,False,False,609678,16185,16180,552324.0,regular_foul,67,58
infraction,61,42,False,False,573635,16185,16180,585979.0,regular_foul,33,7
infraction,62,22,False,False,552324,16180,16185,145594.0,regular_foul,88,35
infraction,64,26,False,False,585979,16180,16185,573635.0,regular_foul,31,66
infraction,66,0,False,False,331348,16180,16185,609678.0,regular_foul,48,94
infraction,67,19,False,False,594679,16180,16185,145594.0,regular_foul,92,62
infraction,73,51,True,False,729286,16180,16185,493006.0,regular_foul,34,21
infraction,76,43,False,False,594679,16180,16185,493006.0,regular_foul,40,58
infraction,78,12,False,False,632531,16180,16185,552463.0,regular_foul,21,5
infraction,81,11,False,False,552463,16185,16180,584860.0,regular_foul,35,86
offside,86,38,,,541165,16180,16185,,,82,72
infraction,87,41,False,False,594679,16180,16185,375019.0,regular_foul,37,78
infraction,88,56,False,False,584860,16180,16185,375019.0,regular_foul,48,96
infraction,89,43,False,False,564804,16180,16185,552463.0,regular_foul,70,19
infraction,93,47,False,False,609678,16185,16180,594679.0,regular_foul,71,33
