season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
offside,3,10,,,809609,16198,16196,,,87,40
offside,5,35,,,916665,16196,16198,,,78,12
offside,8,55,,,356210,16198,16196,,,91,36
offside,9,48,,,861086,16196,16198,,,60,85
infraction,16,43,False,False,707523,16198,16196,,hand_foul,87,55
offside,26,35,,,916665,16196,16198,,,88,53
infraction,27,48,False,False,789324,16198,16196,861086.0,regular_foul,70,1
infraction,28,19,False,False,552414,16198,16196,975178.0,regular_foul,87,49
infraction,37,35,False,False,861086,16196,16198,356210.0,regular_foul,41,73
infraction,39,20,False,False,551962,16196,16198,552414.0,regular_foul,29,65
offside,45,49,,,274798,16198,16196,,,99,48
infraction,53,17,False,False,707523,16198,16196,0.0,regular_foul,75,16
infraction,53,50,False,False,729393,16196,16198,708914.0,regular_foul,98,93
infraction,45,40,False,False,489672,16198,16196,975203.0,regular_foul,39,75
infraction,62,3,False,False,582228,16196,16198,,hand_foul,2,83
offside,64,54,,,729393,16196,16198,,,88,29
infraction,65,52,False,False,630145,16196,16198,356210.0,regular_foul,99,84
offside,66,52,,,707523,16198,16196,,,97,48
infraction,68,20,False,False,566470,16198,16196,437531.0,regular_foul,53,74
infraction,73,34,False,False,772708,16198,16196,0.0,regular_foul,64,93
infraction,77,18,False,False,989796,16196,16198,0.0,regular_foul,22,84
infraction,79,19,False,False,356210,16198,16196,0.0,regular_foul,28,27
infraction,81,59,False,False,809609,16198,16196,975178.0,regular_foul,89,28
infraction,83,57,True,False,274798,16198,16196,,time_lost_foul,10,41
infraction,87,59,False,False,580539,16196,16198,566470.0,regular_foul,58,14
infraction,89,33,False,False,809609,16198,16196,630145.0,regular_foul,90,45
infraction,91,58,False,False,708914,16198,16196,975205.0,regular_foul,61,31
