season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,46,False,False,640091,16170,16178,630068.0,regular_foul,60,37
infraction,2,16,False,False,630068,16178,16170,772793.0,regular_foul,65,36
infraction,4,3,False,False,772793,16170,16178,552539.0,regular_foul,22,75
infraction,14,22,False,False,510240,16178,16170,582219.0,regular_foul,69,14
infraction,18,5,False,False,568728,16170,16178,,hand_foul,88,41
infraction,22,54,False,False,680279,16178,16170,568728.0,regular_foul,70,94
infraction,28,24,False,False,772793,16170,16178,552539.0,regular_foul,44,70
infraction,42,0,False,False,687031,16178,16170,640091.0,regular_foul,29,59
infraction,48,48,False,False,552269,16178,16170,568728.0,regular_foul,95,10
offside,45,53,,,553647,16170,16178,,,89,60
infraction,46,56,True,False,399492,16170,16178,630068.0,regular_foul,52,55
infraction,51,15,False,False,568728,16170,16178,680279.0,regular_foul,66,10
infraction,58,4,False,False,582219,16170,16178,552543.0,regular_foul,88,43
infraction,60,24,True,False,552269,16178,16170,772793.0,regular_foul,20,71
infraction,62,22,False,False,859036,16170,16178,552306.0,regular_foul,90,84
infraction,64,36,False,False,640091,16170,16178,687031.0,regular_foul,96,83
infraction,67,11,False,False,582219,16170,16178,552539.0,regular_foul,7,94
infraction,76,10,False,False,552306,16178,16170,231684.0,regular_foul,66,81
infraction,77,24,False,False,728969,16178,16170,582219.0,regular_foul,67,23
infraction,77,55,False,False,728969,16178,16170,399492.0,regular_foul,82,70
infraction,82,33,False,False,640091,16170,16178,351866.0,regular_foul,65,22
offside,91,28,,,859036,16170,16178,,,79,58
infraction,93,42,False,False,231684,16170,16178,240412.0,regular_foul,40,20
infraction,96,52,False,False,629260,16178,16170,582219.0,regular_foul,97,14
offside,99,59,,,859036,16170,16178,,,70,33
infraction,101,11,False,False,859036,16170,16178,351866.0,regular_foul,86,46
offside,101,50,,,640091,16170,16178,,,81,71
infraction,103,24,False,False,629260,16178,16170,430919.0,regular_foul,94,30
