season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,14,False,False,489227,16175,16185,437526.0,regular_foul,31,32
infraction,0,59,False,False,477568,16175,16185,120668.0,regular_foul,28,94
infraction,5,17,False,False,489225,16175,16185,124643.0,regular_foul,92,57
infraction,7,25,False,False,145604,16175,16185,437526.0,regular_foul,56,60
infraction,8,17,False,False,552324,16185,16175,489227.0,regular_foul,72,75
infraction,8,34,False,False,124643,16185,16175,215407.0,regular_foul,40,44
infraction,22,28,False,False,145604,16175,16185,437526.0,regular_foul,54,56
infraction,23,18,False,False,489226,16175,16185,120668.0,regular_foul,33,96
infraction,24,19,False,False,25828,16185,16175,,hand_foul,75,32
infraction,25,34,False,False,489227,16175,16185,552324.0,regular_foul,22,11
infraction,27,47,False,False,25828,16185,16175,215407.0,regular_foul,42,45
infraction,29,3,False,False,437524,16185,16175,,hand_foul,13,85
offside,30,29,,,145604,16175,16185,,,97,17
infraction,31,26,False,False,124643,16185,16175,489225.0,regular_foul,30,94
infraction,31,40,False,False,215407,16175,16185,370850.0,regular_foul,94,45
infraction,36,30,False,False,552659,16185,16175,489225.0,regular_foul,18,46
infraction,39,59,False,False,437526,16185,16175,145604.0,regular_foul,62,33
infraction,41,15,False,False,215407,16175,16185,25828.0,regular_foul,76,76
infraction,43,2,False,False,489225,16175,16185,437524.0,regular_foul,77,19
infraction,45,14,False,False,477568,16175,16185,437524.0,regular_foul,92,41
infraction,45,55,False,False,120668,16185,16175,552254.0,regular_foul,24,35
infraction,49,29,False,False,489225,16175,16185,26308.0,regular_foul,71,84
infraction,53,50,False,False,552324,16185,16175,489227.0,regular_foul,46,68
infraction,55,56,False,False,124643,16185,16175,215407.0,regular_foul,31,41
infraction,57,33,True,False,25828,16185,16175,489222.0,regular_foul,62,21
offside,59,58,,,215407,16175,16185,,,74,27
infraction,60,16,False,False,552256,16175,16185,552324.0,regular_foul,53,5
infraction,60,53,False,False,489227,16175,16185,437525.0,regular_foul,20,37
infraction,62,35,False,False,437524,16185,16175,489225.0,regular_foul,35,98
infraction,64,28,False,False,442895,16185,16175,489222.0,regular_foul,28,94
infraction,65,42,False,False,477568,16175,16185,120668.0,regular_foul,26,56
infraction,69,25,False,False,552254,16175,16185,120668.0,regular_foul,53,88
infraction,70,57,False,False,437525,16185,16175,145604.0,regular_foul,29,72
infraction,72,21,False,False,489227,16175,16185,442895.0,regular_foul,90,52
infraction,73,54,False,False,489226,16175,16185,120668.0,regular_foul,52,89
infraction,75,42,False,False,552254,16175,16185,120668.0,regular_foul,58,82
offside,78,25,,,552328,16185,16175,,,50,52
infraction,79,29,False,False,145604,16175,16185,552328.0,regular_foul,30,63
infraction,79,57,False,False,25828,16185,16175,215407.0,regular_foul,57,12
infraction,80,37,False,False,145604,16175,16185,552328.0,regular_foul,57,90
infraction,81,16,False,True,124643,16185,16175,,out_of_play_foul,45,52
infraction,85,54,False,False,552255,16175,16185,552334.0,regular_foul,28,39
infraction,87,2,False,False,145604,16175,16185,552328.0,regular_foul,32,40
infraction,89,36,False,False,430926,16175,16185,25828.0,regular_foul,71,78
infraction,90,38,True,False,145604,16175,16185,552328.0,regular_foul,32,69
offside,92,11,,,552259,16175,16185,,,82,10
