season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,4,17,False,False,861527,16180,16177,518555.0,regular_foul,29,96
infraction,6,6,False,False,543096,16177,16180,715761.0,regular_foul,27,34
infraction,9,23,True,False,552360,16177,16180,772840.0,regular_foul,72,90
infraction,10,46,False,False,609678,16177,16180,772852.0,regular_foul,55,64
infraction,12,38,False,False,861527,16180,16177,518555.0,regular_foul,35,96
infraction,16,45,False,False,513824,16177,16180,772840.0,regular_foul,24,83
infraction,20,13,False,False,395788,16180,16177,,hand_foul,59,32
infraction,29,41,False,False,552360,16177,16180,395788.0,regular_foul,66,80
offside,32,19,,,653169,16180,16177,,,68,89
offside,37,10,,,653169,16180,16177,,,66,88
infraction,39,33,False,False,609678,16177,16180,,hand_foul,76,22
infraction,40,37,False,False,772852,16180,16177,543096.0,regular_foul,53,33
infraction,41,46,False,False,653169,16180,16177,716216.0,regular_foul,80,88
infraction,43,26,False,False,552360,16177,16180,552263.0,regular_foul,49,9
infraction,44,54,False,False,543096,16177,16180,772840.0,regular_foul,65,87
offside,50,12,,,772840,16180,16177,,,81,13
infraction,54,36,False,False,609678,16177,16180,552263.0,regular_foul,56,26
infraction,56,6,False,False,609678,16177,16180,145826.0,regular_foul,62,26
infraction,57,45,False,False,772840,16180,16177,489672.0,regular_foul,76,4
infraction,58,18,False,False,757939,16177,16180,507210.0,regular_foul,61,79
infraction,59,56,True,False,489672,16177,16180,772840.0,regular_foul,36,96
infraction,63,44,False,False,630620,16180,16177,0.0,regular_foul,31,4
infraction,67,46,False,False,489672,16177,16180,772840.0,regular_foul,25,63
infraction,69,27,True,False,250180,16177,16180,,protest_foul,27,63
infraction,70,40,True,False,552263,16180,16177,518555.0,regular_foul,46,69
infraction,80,3,True,False,707530,16177,16180,145826.0,regular_foul,72,95
infraction,82,0,False,False,861527,16180,16177,295922.0,regular_foul,37,92
infraction,82,48,False,False,392373,16180,16177,915714.0,regular_foul,70,82
infraction,84,25,False,False,757939,16177,16180,580566.0,regular_foul,95,53
infraction,85,58,False,False,716216,16177,16180,392373.0,regular_foul,44,30
infraction,87,48,False,False,739723,16180,16177,552360.0,regular_foul,46,9
infraction,91,22,True,False,861527,16180,16177,295922.0,regular_foul,58,91
infraction,93,48,False,False,707530,16177,16180,552263.0,regular_foul,58,46
