season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,28,False,False,568728,16195,16178,,hand_foul,79,26
infraction,2,22,False,False,629453,16195,16178,513824.0,regular_foul,40,39
infraction,5,46,False,False,134712,16178,16195,430917.0,regular_foul,56,25
infraction,8,37,False,False,513824,16178,16195,271655.0,regular_foul,77,80
infraction,9,24,False,False,120655,16178,16195,375022.0,regular_foul,59,21
infraction,13,44,False,False,553443,16195,16178,513824.0,regular_foul,57,30
infraction,14,18,False,False,629453,16195,16178,513824.0,regular_foul,27,47
offside,16,6,,,120655,16178,16195,,,81,11
infraction,19,0,False,False,553443,16195,16178,376855.0,regular_foul,47,94
infraction,20,17,False,False,568728,16195,16178,518759.0,regular_foul,83,7
infraction,24,11,False,False,629453,16195,16178,513824.0,regular_foul,72,27
infraction,25,47,False,False,134712,16178,16195,553443.0,regular_foul,69,12
infraction,29,10,False,False,134712,16178,16195,658527.0,regular_foul,62,16
infraction,33,12,False,False,553443,16195,16178,437531.0,regular_foul,41,89
infraction,35,59,False,False,376855,16178,16195,658527.0,regular_foul,46,33
infraction,36,16,False,False,513824,16178,16195,120683.0,regular_foul,26,85
infraction,40,15,False,False,375022,16195,16178,145610.0,regular_foul,71,24
infraction,41,7,False,False,513824,16178,16195,120683.0,regular_foul,68,84
infraction,41,33,False,False,375022,16195,16178,518759.0,regular_foul,77,7
infraction,45,33,False,False,134712,16178,16195,375022.0,regular_foul,68,5
infraction,46,40,False,False,376855,16178,16195,658527.0,regular_foul,45,5
infraction,50,50,False,False,375012,16178,16195,,hand_foul,6,16
infraction,54,35,False,False,513824,16178,16195,120683.0,regular_foul,62,93
infraction,56,36,False,False,391132,16195,16178,145610.0,regular_foul,64,48
infraction,58,6,False,False,437532,16178,16195,630068.0,regular_foul,34,23
infraction,64,17,False,False,391132,16195,16178,,hand_foul,88,26
penalty,71,38,True,False,145610,16178,16195,655444.0,regular_foul,7,45
infraction,77,23,True,False,120683,16195,16178,513824.0,regular_foul,54,6
infraction,78,37,False,False,134712,16178,16195,430917.0,regular_foul,43,23
infraction,80,51,False,False,134712,16178,16195,658527.0,regular_foul,67,6
infraction,81,25,False,False,552657,16178,16195,658527.0,regular_foul,60,41
infraction,81,41,False,False,0,16195,16178,0.0,regular_foul,54,70
infraction,82,32,False,False,655444,16195,16178,,hand_foul,88,22
infraction,83,8,True,False,552657,16178,16195,271655.0,regular_foul,63,44
offside,89,54,,,391132,16195,16178,,,93,67
infraction,95,46,False,False,375022,16195,16178,552657.0,regular_foul,10,94
infraction,96,27,False,False,375022,16195,16178,134712.0,regular_foul,12,92
infraction,96,56,False,False,552657,16178,16195,437534.0,regular_foul,95,3
