season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
offside,4,42,,,229141,16177,16173,,,75,83
offside,6,35,,,413035,16177,16173,,,66,68
infraction,9,1,False,False,856777,16177,16173,861527.0,regular_foul,77,23
infraction,11,5,False,False,629374,16177,16173,589413.0,regular_foul,17,13
infraction,12,2,False,False,485651,16173,16177,629408.0,regular_foul,97,40
offside,21,26,,,413035,16177,16173,,,86,5
infraction,22,42,False,False,861527,16173,16177,856777.0,regular_foul,36,90
infraction,28,13,False,False,653169,16173,16177,874260.0,regular_foul,81,10
infraction,39,35,False,False,552270,16173,16177,,hand_foul,31,15
offside,49,22,,,518760,16177,16173,,,72,5
infraction,50,18,False,False,657871,16177,16173,653169.0,regular_foul,37,29
infraction,53,53,False,False,715761,16173,16177,552318.0,regular_foul,65,22
infraction,47,7,False,False,861527,16173,16177,518760.0,regular_foul,18,93
offside,47,53,,,856777,16177,16173,,,94,49
infraction,49,53,False,False,861527,16173,16177,856777.0,regular_foul,27,88
infraction,51,31,True,False,552318,16177,16173,,protest_foul,91,28
infraction,53,22,False,False,447746,16173,16177,229141.0,regular_foul,60,79
offside,63,58,,,856777,16177,16173,,,85,16
infraction,66,16,False,False,874260,16177,16173,447746.0,regular_foul,67,75
infraction,66,56,True,False,480070,16173,16177,,time_lost_foul,35,27
infraction,69,5,False,False,680993,16173,16177,856776.0,regular_foul,27,36
offside,75,10,,,856777,16177,16173,,,69,28
infraction,77,36,False,False,856776,16177,16173,680993.0,regular_foul,42,18
infraction,78,20,False,False,630643,16177,16173,589413.0,regular_foul,28,90
infraction,78,57,False,False,552263,16173,16177,630643.0,regular_foul,59,5
infraction,80,49,False,False,680993,16173,16177,873208.0,regular_foul,24,23
infraction,84,0,False,False,873208,16177,16173,145826.0,regular_foul,67,61
infraction,88,15,False,False,552318,16177,16173,715761.0,regular_foul,55,31
infraction,91,0,False,False,485651,16173,16177,856775.0,regular_foul,32,33
infraction,92,26,True,False,552263,16173,16177,856777.0,regular_foul,24,72
