season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,40,False,False,295921,16177,16183,551948.0,regular_foul,37,86
infraction,2,33,False,False,580575,16183,16177,413042.0,regular_foul,64,15
infraction,3,42,False,False,543089,16177,16183,580572.0,regular_foul,96,34
infraction,4,38,False,False,295921,16177,16183,399492.0,regular_foul,59,33
offside,5,2,,,504873,16183,16177,,,65,63
infraction,5,7,True,False,580575,16183,16177,552273.0,regular_foul,65,61
infraction,6,18,False,False,399492,16183,16177,413042.0,regular_foul,42,18
infraction,7,49,False,False,105755,16177,16183,583334.0,regular_foul,61,8
infraction,8,24,False,False,551956,16183,16177,507210.0,regular_foul,79,87
infraction,8,49,False,False,105755,16177,16183,580562.0,regular_foul,69,47
infraction,11,42,False,False,501489,16177,16183,504873.0,regular_foul,34,47
offside,12,17,,,583334,16183,16177,,,92,36
infraction,12,48,False,False,105755,16177,16183,580562.0,regular_foul,66,50
infraction,17,28,False,False,399492,16183,16177,120694.0,regular_foul,39,24
infraction,19,8,False,False,507210,16177,16183,270308.0,regular_foul,25,17
infraction,20,11,False,False,375020,16177,16183,583334.0,regular_foul,66,30
infraction,21,51,False,False,399492,16183,16177,375020.0,regular_foul,23,81
infraction,25,23,False,False,552273,16177,16183,257159.0,regular_foul,94,26
infraction,25,55,False,False,552273,16177,16183,257159.0,regular_foul,35,11
offside,29,26,,,285595,16177,16183,,,69,12
infraction,31,32,False,False,295921,16177,16183,399492.0,regular_foul,63,72
infraction,32,57,False,False,295921,16177,16183,580572.0,regular_foul,23,89
offside,35,32,,,0,16183,16177,,,68,42
infraction,35,57,False,False,375020,16177,16183,551956.0,regular_foul,78,17
infraction,37,34,False,False,105755,16177,16183,580562.0,regular_foul,80,85
infraction,42,22,False,False,285595,16177,16183,551948.0,regular_foul,84,85
offside,45,45,,,105755,16177,16183,,,73,42
infraction,46,42,False,False,105755,16177,16183,580562.0,regular_foul,75,91
infraction,48,46,False,False,507210,16177,16183,270308.0,regular_foul,65,66
infraction,49,17,False,False,551956,16183,16177,413042.0,regular_foul,92,71
infraction,51,8,False,False,580575,16183,16177,375020.0,regular_foul,11,6
infraction,54,47,True,False,105755,16177,16183,580562.0,regular_foul,80,74
infraction,56,15,False,False,580572,16183,16177,413042.0,regular_foul,60,64
infraction,56,47,True,False,399492,16183,16177,295921.0,regular_foul,31,41
infraction,63,9,False,False,580575,16183,16177,375020.0,regular_foul,37,84
infraction,63,35,False,False,285595,16177,16183,356212.0,regular_foul,80,74
infraction,64,7,False,False,504873,16183,16177,501489.0,regular_foul,76,60
infraction,71,13,False,False,498483,16183,16177,413042.0,regular_foul,35,87
infraction,72,22,False,False,580562,16183,16177,375020.0,regular_foul,26,32
infraction,76,17,False,False,580562,16183,16177,,hand_foul,34,31
infraction,78,36,False,False,580562,16183,16177,413042.0,regular_foul,68,85
infraction,88,33,False,False,270308,16183,16177,413042.0,regular_foul,82,23
offside,92,32,,,295921,16177,16183,,,95,52
infraction,92,44,False,False,507210,16177,16183,145611.0,regular_foul,43,4
infraction,94,41,False,False,0,16177,16183,0.0,regular_foul,62,86
