season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,2,42,False,False,145604,16182,16176,856740.0,regular_foul,34,63
infraction,5,4,False,False,134507,16176,16182,739803.0,regular_foul,62,81
infraction,7,25,False,False,505109,16182,16176,,hand_foul,70,28
infraction,17,16,False,False,583614,16176,16182,489681.0,regular_foul,86,14
infraction,18,51,False,False,737878,16176,16182,505109.0,regular_foul,40,39
offside,19,46,,,739803,16182,16176,,,92,39
infraction,23,38,False,False,507614,16182,16176,551947.0,regular_foul,43,14
infraction,24,6,False,False,638836,16176,16182,505109.0,regular_foul,56,84
infraction,24,30,False,False,551947,16176,16182,507614.0,regular_foul,38,90
offside,25,10,,,739803,16182,16176,,,81,67
infraction,26,50,False,False,489681,16182,16176,583614.0,regular_foul,33,64
offside,27,17,,,583616,16176,16182,,,91,69
infraction,28,27,True,False,145601,16176,16182,583512.0,regular_foul,44,89
infraction,37,18,True,False,489681,16182,16176,858408.0,regular_foul,24,84
infraction,41,52,False,False,638836,16176,16182,505109.0,regular_foul,36,40
offside,46,48,,,864200,16182,16176,,,97,76
infraction,47,29,False,False,583614,16176,16182,489681.0,regular_foul,44,12
infraction,49,52,False,False,864200,16182,16176,858408.0,regular_foul,85,87
infraction,50,38,False,False,864200,16182,16176,858408.0,regular_foul,33,92
infraction,51,23,False,False,583614,16176,16182,709273.0,regular_foul,98,57
infraction,52,9,False,False,583616,16176,16182,413040.0,regular_foul,31,89
infraction,52,43,False,False,709273,16182,16176,638836.0,regular_foul,89,69
infraction,55,16,True,False,145604,16182,16176,,protest_foul,82,73
infraction,59,15,False,False,583614,16176,16182,489681.0,regular_foul,65,11
offside,68,59,,,694159,16182,16176,,,84,33
infraction,69,55,False,False,835512,16182,16176,134507.0,regular_foul,38,53
infraction,73,41,False,False,0,16176,16182,0.0,regular_foul,55,8
infraction,82,33,False,False,835512,16182,16176,858408.0,regular_foul,66,56
infraction,84,33,True,False,551947,16176,16182,,protest_foul,32,78
infraction,85,7,False,False,694159,16182,16176,856738.0,regular_foul,74,35
infraction,92,24,False,False,145604,16182,16176,134507.0,regular_foul,53,33
infraction,93,51,False,False,145604,16182,16176,134507.0,regular_foul,23,85
infraction,96,35,False,False,694159,16182,16176,638836.0,regular_foul,73,38
