season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,2,3,False,False,552254,16195,16185,326317.0,regular_foul,45,80
infraction,4,34,False,False,552657,16185,16195,489224.0,regular_foul,82,85
infraction,8,43,False,False,477568,16195,16185,552657.0,regular_foul,28,72
offside,9,42,,,513823,16185,16195,,,85,72
infraction,12,17,False,False,552269,16185,16195,552259.0,regular_foul,52,79
infraction,18,28,False,False,430926,16195,16185,513823.0,regular_foul,86,8
infraction,20,41,False,False,518759,16185,16195,552254.0,regular_foul,44,53
infraction,21,46,False,False,552255,16195,16185,552269.0,regular_foul,33,17
offside,25,0,,,430926,16195,16185,,,74,57
infraction,25,33,True,False,430926,16195,16185,552657.0,regular_foul,37,39
infraction,29,5,False,False,477568,16195,16185,,hand_foul,27,59
infraction,35,50,False,False,518759,16185,16195,477568.0,regular_foul,64,57
infraction,37,50,False,False,552657,16185,16195,489224.0,regular_foul,60,69
infraction,40,44,False,False,477568,16195,16185,518759.0,regular_foul,33,73
infraction,41,32,False,False,510240,16185,16195,430926.0,regular_foul,36,10
infraction,43,59,False,False,326317,16185,16195,552255.0,regular_foul,47,62
infraction,47,12,False,False,413040,16195,16185,518759.0,regular_foul,28,9
infraction,48,52,False,False,489225,16195,16185,513823.0,regular_foul,71,42
infraction,49,53,False,False,326317,16185,16195,552259.0,regular_foul,60,34
infraction,53,41,False,False,326317,16185,16195,489222.0,regular_foul,34,58
infraction,58,34,False,False,513823,16185,16195,489225.0,regular_foul,27,60
infraction,63,43,False,False,145610,16185,16195,552255.0,regular_foul,24,93
offside,66,56,,,145610,16185,16195,,,66,93
infraction,68,17,False,False,510240,16185,16195,552255.0,regular_foul,65,6
offside,70,55,,,413040,16195,16185,,,72,2
infraction,71,31,False,False,326317,16185,16195,145604.0,regular_foul,71,78
infraction,72,42,False,False,285034,16185,16195,,hand_foul,70,62
infraction,76,55,False,False,489225,16195,16185,15764.0,regular_foul,97,44
infraction,84,29,False,False,489224,16195,16185,285034.0,regular_foul,61,24
infraction,84,57,False,False,552270,16185,16195,489226.0,regular_foul,77,14
infraction,85,33,False,False,543091,16185,16195,145604.0,regular_foul,65,86
infraction,87,31,False,False,477568,16195,16185,552270.0,regular_foul,35,66
infraction,90,36,False,False,375019,16185,16195,489222.0,regular_foul,56,83
infraction,91,51,False,False,552270,16185,16195,145604.0,regular_foul,68,30
