season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,36,False,False,407497,16198,16196,632530.0,regular_foul,80,42
infraction,2,5,False,False,552431,16198,16196,788353.0,regular_foul,93,44
infraction,8,33,False,False,789324,16198,16196,598829.0,regular_foul,33,71
infraction,9,38,False,False,552545,16198,16196,552407.0,regular_foul,64,73
infraction,12,1,False,False,552545,16198,16196,598829.0,regular_foul,55,75
infraction,21,41,False,False,552431,16198,16196,552349.0,regular_foul,91,54
offside,22,19,,,566470,16198,16196,,,69,67
infraction,29,38,False,False,788353,16196,16198,552431.0,regular_foul,8,87
offside,31,3,,,552431,16198,16196,,,87,20
infraction,35,56,False,False,552407,16196,16198,789324.0,regular_foul,73,9
infraction,47,20,True,False,788353,16196,16198,552431.0,regular_foul,30,75
offside,48,44,,,552431,16198,16196,,,78,15
infraction,56,54,True,False,552349,16196,16198,566470.0,regular_foul,12,82
infraction,62,34,True,False,598829,16196,16198,,time_lost_foul,67,19
offside,64,48,,,566470,16198,16196,,,74,80
infraction,73,0,False,False,552431,16198,16196,629014.0,regular_foul,56,41
infraction,76,56,False,False,566470,16198,16196,707830.0,regular_foul,26,17
infraction,80,1,False,False,789324,16198,16196,772854.0,regular_foul,25,59
infraction,82,29,False,False,407497,16198,16196,632530.0,regular_foul,33,15
infraction,88,9,False,False,707830,16196,16198,566470.0,regular_foul,19,93
infraction,92,19,False,False,552285,16198,16196,629014.0,regular_foul,54,84
infraction,92,45,False,False,552431,16198,16196,788353.0,regular_foul,90,20
infraction,93,0,False,False,552285,16198,16196,707830.0,regular_foul,59,31
