season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,3,1,False,False,120665,16171,16177,518764.0,regular_foul,67,94
infraction,8,41,False,False,715361,16177,16171,552270.0,regular_foul,74,97
infraction,9,5,False,False,518764,16177,16171,120665.0,regular_foul,50,20
offside,18,53,,,629258,16177,16171,,,96,64
infraction,24,12,False,False,809609,16177,16171,680993.0,regular_foul,75,95
infraction,30,19,False,False,772742,16177,16171,510240.0,regular_foul,55,25
infraction,31,37,False,False,267055,16177,16171,551956.0,regular_foul,48,39
infraction,32,55,True,False,680993,16171,16177,715361.0,regular_foul,54,34
infraction,39,27,False,False,715361,16177,16171,680993.0,regular_foul,75,42
infraction,45,40,False,False,772742,16177,16171,510240.0,regular_foul,31,35
infraction,46,31,True,False,552270,16171,16177,,out_of_play_foul,69,61
infraction,45,31,False,False,772710,16171,16177,,hand_foul,54,13
infraction,48,32,False,False,580562,16171,16177,629107.0,regular_foul,96,56
infraction,49,33,False,False,267055,16177,16171,510240.0,regular_foul,4,6
infraction,53,53,False,False,809609,16177,16171,580562.0,regular_foul,66,77
infraction,57,33,False,False,772745,16177,16171,,hand_foul,84,57
infraction,59,13,False,False,772742,16177,16171,510240.0,regular_foul,42,58
infraction,61,11,False,False,772742,16177,16171,120665.0,regular_foul,24,36
infraction,65,38,False,False,630145,16177,16171,552270.0,regular_foul,53,37
infraction,66,50,False,False,809611,16177,16171,551956.0,regular_foul,32,3
infraction,71,16,False,False,510240,16171,16177,629107.0,regular_foul,97,52
offside,77,12,,,510240,16171,16177,,,67,55
infraction,78,21,True,False,772742,16177,16171,120665.0,regular_foul,35,34
infraction,79,40,False,False,629258,16177,16171,580562.0,regular_foul,87,82
infraction,81,32,False,False,580562,16171,16177,629258.0,regular_foul,36,42
infraction,83,54,False,False,120665,16171,16177,,hand_foul,91,96
penalty,85,32,False,False,715361,16177,16171,510241.0,regular_foul,12,22
infraction,87,34,True,False,630145,16177,16171,,protest_foul,18,61
infraction,89,5,False,False,630145,16177,16171,485651.0,regular_foul,66,12
infraction,89,45,False,False,510240,16171,16177,518764.0,regular_foul,53,21
infraction,91,7,True,False,629258,16177,16171,,out_of_play_foul,47,100
infraction,91,52,False,False,630145,16177,16171,510240.0,regular_foul,36,95
infraction,93,20,False,False,582218,16177,16171,500600.0,regular_foul,47,43
