season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,13,False,False,552414,16214,16179,629016.0,regular_foul,62,84
infraction,1,48,False,False,552418,16214,16179,632395.0,regular_foul,80,89
infraction,2,14,False,False,552414,16214,16179,,hand_foul,47,67
infraction,2,45,False,False,632395,16179,16214,552418.0,regular_foul,26,4
infraction,3,14,False,False,291029,16214,16179,632395.0,regular_foul,87,54
infraction,7,54,True,False,29377,16214,16179,243445.0,regular_foul,22,54
infraction,10,49,False,False,556501,16179,16214,131963.0,regular_foul,33,65
offside,11,22,,,552418,16214,16179,,,83,49
infraction,11,51,False,False,291029,16214,16179,629014.0,regular_foul,35,94
infraction,13,44,False,False,639174,16179,16214,120665.0,regular_foul,12,96
infraction,15,1,False,False,291029,16214,16179,198122.0,regular_foul,37,63
infraction,16,53,False,False,131963,16214,16179,556501.0,regular_foul,59,55
infraction,18,31,False,False,639174,16179,16214,120665.0,regular_foul,23,76
infraction,24,5,False,False,629014,16179,16214,247042.0,regular_foul,27,19
infraction,25,39,True,False,639174,16179,16214,120665.0,regular_foul,17,73
infraction,30,7,False,False,556501,16179,16214,131963.0,regular_foul,26,48
infraction,31,33,False,False,202654,16214,16179,198122.0,regular_foul,36,27
infraction,32,24,True,False,629014,16179,16214,285594.0,regular_foul,52,48
infraction,33,33,False,False,552332,16214,16179,,hand_foul,55,96
infraction,35,59,False,False,552460,16179,16214,202654.0,regular_foul,29,57
infraction,36,56,False,False,243445,16179,16214,247042.0,regular_foul,56,84
infraction,42,21,False,False,198122,16179,16214,552393.0,regular_foul,94,49
infraction,45,3,False,False,202654,16214,16179,243445.0,regular_foul,90,39
infraction,46,28,False,False,243445,16179,16214,120665.0,regular_foul,55,7
infraction,49,1,False,False,29377,16214,16179,198122.0,regular_foul,47,23
infraction,49,50,False,False,552418,16214,16179,632397.0,regular_foul,48,92
infraction,50,45,False,False,552332,16214,16179,629014.0,regular_foul,63,93
infraction,50,58,False,False,285594,16214,16179,629014.0,regular_foul,41,83
infraction,51,20,False,True,629014,16179,16214,552332.0,regular_foul,75,21
infraction,53,35,False,False,198122,16179,16214,29377.0,regular_foul,58,95
offside,54,13,,,120665,16214,16179,,,82,0
infraction,54,42,False,False,285594,16214,16179,552460.0,regular_foul,56,45
infraction,64,19,False,False,552414,16214,16179,442901.0,regular_foul,74,67
infraction,65,53,False,False,648602,16179,16214,131963.0,regular_foul,41,90
infraction,72,56,True,False,291029,16214,16179,640442.0,regular_foul,58,85
infraction,75,1,False,False,291029,16214,16179,198122.0,regular_foul,35,82
infraction,77,52,False,False,580554,16214,16179,640442.0,regular_foul,24,26
infraction,83,7,False,False,602373,16214,16179,243445.0,regular_foul,37,72
infraction,84,26,False,False,198122,16179,16214,552332.0,regular_foul,40,62
infraction,85,27,False,False,442901,16179,16214,552332.0,regular_foul,57,14
infraction,86,28,False,False,580554,16214,16179,442901.0,regular_foul,54,52
infraction,88,8,False,False,552332,16214,16179,629023.0,regular_foul,23,94
offside,88,51,,,131963,16214,16179,,,79,84
infraction,90,43,False,False,247042,16214,16179,640442.0,regular_foul,27,81
infraction,93,23,False,False,552332,16214,16179,198122.0,regular_foul,20,92
