season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,56,False,False,772875,16170,16176,552306.0,regular_foul,19,92
offside,6,26,,,772888,16170,16176,,,77,10
infraction,10,51,False,False,0,16176,16170,0.0,regular_foul,54,51
infraction,11,44,False,False,856740,16176,16170,714486.0,regular_foul,88,61
infraction,12,57,False,False,489681,16170,16176,707537.0,regular_foul,82,90
offside,20,14,,,694159,16170,16176,,,55,6
infraction,21,7,False,False,652875,16176,16170,694159.0,regular_foul,55,13
infraction,23,29,False,False,856788,16170,16176,856740.0,regular_foul,27,49
infraction,26,52,False,False,551947,16170,16176,552269.0,regular_foul,35,70
offside,27,44,,,772888,16170,16176,,,82,13
penalty,31,47,False,False,543090,16176,16170,489681.0,regular_foul,11,66
infraction,40,1,False,False,552269,16176,16170,694159.0,regular_foul,32,8
infraction,41,41,False,False,552269,16176,16170,489681.0,regular_foul,70,9
infraction,45,44,True,False,552306,16176,16170,856788.0,regular_foul,87,22
infraction,52,19,False,False,552545,16176,16170,629244.0,regular_foul,96,57
offside,57,19,,,489681,16170,16176,,,81,53
infraction,59,25,False,False,694159,16170,16176,552545.0,regular_foul,68,35
offside,61,4,,,498740,16176,16170,,,71,11
infraction,76,52,False,False,510240,16176,16170,714486.0,regular_foul,67,35
infraction,84,10,True,False,629244,16170,16176,510240.0,regular_foul,40,27
infraction,88,49,True,False,772875,16170,16176,629989.0,regular_foul,36,92
infraction,91,29,False,False,629989,16176,16170,551947.0,regular_foul,26,21
