season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
offside,0,57,,,707523,16176,16196,,,85,23
infraction,2,20,False,False,551947,16196,16176,285591.0,regular_foul,76,25
infraction,6,25,False,False,856788,16196,16176,772710.0,regular_foul,46,79
infraction,7,25,False,False,285591,16176,16196,714486.0,regular_foul,47,69
infraction,8,44,False,False,708914,16176,16196,694159.0,regular_foul,54,94
infraction,9,26,False,False,551947,16196,16176,566470.0,regular_foul,68,8
infraction,10,55,False,False,772710,16176,16196,856788.0,regular_foul,43,23
offside,11,19,,,568728,16196,16176,,,79,23
penalty,12,49,True,False,375012,16196,16176,,hand_foul,10,48
infraction,17,51,False,False,551947,16196,16176,772710.0,regular_foul,71,76
infraction,20,10,False,False,510241,16176,16196,568728.0,regular_foul,45,96
infraction,20,54,False,False,856788,16196,16176,285591.0,regular_foul,70,14
infraction,23,36,False,False,566470,16176,16196,413040.0,regular_foul,71,93
infraction,24,4,False,False,568728,16196,16176,566470.0,regular_foul,49,11
infraction,27,13,False,False,713831,16176,16196,694159.0,regular_foul,40,34
infraction,27,44,False,False,356210,16176,16196,489681.0,regular_foul,36,18
infraction,28,53,True,False,856788,16196,16176,772710.0,regular_foul,59,25
infraction,29,51,False,False,489681,16196,16176,356210.0,regular_foul,19,94
infraction,31,6,False,False,552414,16176,16196,891303.0,regular_foul,73,79
infraction,34,59,False,False,713831,16176,16196,694159.0,regular_foul,31,54
infraction,36,30,False,False,566470,16176,16196,568728.0,regular_foul,15,95
infraction,37,28,False,False,891303,16196,16176,566470.0,regular_foul,41,82
infraction,38,48,False,True,375012,16196,16176,707523.0,regular_foul,20,60
infraction,46,23,False,False,356210,16176,16196,551947.0,regular_foul,65,23
infraction,49,1,False,False,510241,16176,16196,413040.0,regular_foul,83,85
offside,45,32,,,694159,16196,16176,,,89,85
infraction,49,57,False,False,856787,16196,16176,510241.0,regular_foul,58,11
infraction,51,12,False,False,552414,16176,16196,856787.0,regular_foul,77,71
infraction,52,27,False,False,510241,16176,16196,891303.0,regular_foul,58,76
infraction,54,56,False,False,707523,16176,16196,,hand_foul,51,35
infraction,55,5,False,False,772710,16176,16196,551947.0,regular_foul,41,29
offside,60,16,,,809609,16176,16196,,,92,16
infraction,62,14,False,False,489681,16196,16176,356210.0,regular_foul,78,94
infraction,67,12,True,False,356210,16176,16196,694159.0,regular_foul,14,5
offside,68,21,,,856788,16196,16176,,,96,48
infraction,70,25,False,False,566470,16176,16196,714486.0,regular_foul,72,95
infraction,72,6,False,False,713831,16176,16196,856787.0,regular_foul,43,92
infraction,73,46,False,False,489681,16196,16176,772708.0,regular_foul,62,64
offside,75,2,,,356210,16176,16196,,,81,7
infraction,76,12,True,False,566470,16176,16196,,simulation_foul,87,66
infraction,77,26,False,False,713831,16176,16196,694159.0,regular_foul,31,28
infraction,84,5,False,False,715761,16176,16196,551947.0,regular_foul,41,27
infraction,86,36,False,False,713831,16176,16196,772888.0,regular_foul,42,33
infraction,87,54,True,False,772708,16176,16196,,hand_foul,58,72
infraction,88,33,False,False,714486,16196,16176,566470.0,regular_foul,48,9
infraction,89,13,False,False,552431,16176,16196,772875.0,regular_foul,33,6
infraction,98,46,True,False,772888,16196,16176,,out_of_play_foul,92,49
