season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,27,False,False,266910,22864,16199,552495.0,regular_foul,78,37
infraction,1,24,False,False,552415,22864,16199,552525.0,regular_foul,24,52
infraction,3,55,False,False,772873,22864,16199,285034.0,regular_foul,56,29
offside,5,19,,,552529,16199,22864,,,73,27
infraction,7,31,False,False,552672,22864,16199,552530.0,regular_foul,68,90
infraction,7,52,False,False,375065,22864,16199,552530.0,regular_foul,80,86
infraction,8,29,False,False,552415,22864,16199,413594.0,regular_foul,34,83
infraction,12,19,False,False,285034,16199,22864,772873.0,regular_foul,72,93
infraction,13,2,False,False,552510,16199,22864,375065.0,regular_foul,33,17
infraction,13,49,False,False,772873,22864,16199,552495.0,regular_foul,26,29
infraction,16,46,False,False,266910,22864,16199,552495.0,regular_foul,56,49
infraction,18,3,False,False,552481,16199,22864,552417.0,regular_foul,78,90
infraction,19,19,False,False,552672,22864,16199,552530.0,regular_foul,28,96
infraction,21,3,False,False,552417,22864,16199,552495.0,regular_foul,61,71
infraction,23,30,False,False,552519,16199,22864,552672.0,regular_foul,74,10
infraction,28,9,False,False,552415,22864,16199,552529.0,regular_foul,24,51
offside,31,15,,,552421,22864,16199,,,88,9
infraction,34,2,False,False,552417,22864,16199,552495.0,regular_foul,81,55
infraction,35,22,False,False,552419,22864,16199,413594.0,regular_foul,24,76
infraction,42,51,False,False,552481,16199,22864,266910.0,regular_foul,72,84
infraction,43,3,False,False,552530,16199,22864,552672.0,regular_foul,37,32
infraction,44,30,False,False,552421,22864,16199,552529.0,regular_foul,69,16
infraction,45,11,True,False,552481,16199,22864,552421.0,regular_foul,24,96
infraction,46,18,False,False,552421,22864,16199,552495.0,regular_foul,79,83
offside,47,9,,,413594,16199,22864,,,89,38
infraction,48,10,False,False,285034,16199,22864,772873.0,regular_foul,75,88
infraction,48,42,False,False,552424,22864,16199,552525.0,regular_foul,60,90
infraction,53,9,False,False,202654,22864,16199,552495.0,regular_foul,64,14
infraction,54,32,False,False,375065,22864,16199,552519.0,regular_foul,69,84
infraction,56,18,False,False,552419,22864,16199,413594.0,regular_foul,43,51
infraction,58,49,False,False,266910,22864,16199,285034.0,regular_foul,3,19
infraction,60,22,True,False,285034,16199,22864,552437.0,regular_foul,86,70
infraction,62,51,False,False,552518,16199,22864,552443.0,regular_foul,61,71
infraction,69,59,False,False,552425,22864,16199,552510.0,regular_foul,86,93
infraction,70,13,True,False,552425,22864,16199,,protest_foul,82,95
infraction,70,49,False,False,552425,22864,16199,552530.0,regular_foul,75,86
infraction,72,0,True,False,552518,16199,22864,,late_card_foul,17,51
infraction,74,4,False,False,552424,22864,16199,552495.0,regular_foul,9,6
infraction,77,28,False,True,552425,22864,16199,552520.0,regular_foul,75,93
infraction,84,51,False,False,552518,16199,22864,552443.0,regular_foul,32,80
infraction,85,33,False,False,375065,22864,16199,552520.0,regular_foul,73,72
offside,90,37,,,552443,22864,16199,,,67,37
infraction,92,57,False,False,559609,16199,22864,266910.0,regular_foul,74,78
