season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
offside,3,47,,,543099,16177,16180,,,61,12
offside,4,3,,,356212,16180,16177,,,80,17
offside,5,15,,,552660,16177,16180,,,80,39
offside,5,46,,,270308,16180,16177,,,77,16
infraction,6,42,False,False,399492,16180,16177,7702.0,regular_foul,44,64
infraction,8,52,False,False,68048,16177,16180,580572.0,regular_foul,42,42
infraction,9,15,False,False,399492,16180,16177,543099.0,regular_foul,58,75
offside,12,25,,,498483,16180,16177,,,57,53
infraction,13,17,False,False,583334,16180,16177,543099.0,regular_foul,61,97
infraction,15,44,False,False,399492,16180,16177,7702.0,regular_foul,51,60
infraction,19,6,True,False,553043,16177,16180,399492.0,regular_foul,50,53
infraction,21,47,False,False,553043,16177,16180,580572.0,regular_foul,60,23
infraction,23,29,False,False,270308,16180,16177,593632.0,regular_foul,96,32
infraction,24,47,False,False,580572,16180,16177,7702.0,regular_foul,48,46
infraction,29,28,False,False,68048,16177,16180,145611.0,regular_foul,76,87
penalty,30,21,True,False,408001,16177,16180,145611.0,regular_foul,13,24
infraction,31,50,False,False,498483,16180,16177,,hand_foul,76,10
infraction,32,23,False,False,552660,16177,16180,583334.0,regular_foul,69,4
infraction,33,12,False,False,220735,16177,16180,551956.0,regular_foul,13,16
infraction,35,10,False,False,399492,16180,16177,217742.0,regular_foul,42,90
infraction,35,40,False,False,553043,16177,16180,580572.0,regular_foul,77,36
infraction,36,19,False,False,7702,16177,16180,580572.0,regular_foul,43,6
infraction,36,52,False,False,580575,16180,16177,552660.0,regular_foul,60,77
infraction,38,20,False,False,145611,16180,16177,68048.0,regular_foul,88,61
infraction,40,24,False,False,7702,16177,16180,580575.0,regular_foul,76,36
infraction,41,37,False,False,145611,16180,16177,,hand_foul,78,62
infraction,45,23,False,False,553043,16177,16180,580572.0,regular_foul,61,44
infraction,48,45,False,False,220735,16177,16180,551956.0,regular_foul,29,17
infraction,50,21,True,False,399492,16180,16177,7702.0,regular_foul,42,42
infraction,51,42,False,False,580575,16180,16177,543099.0,regular_foul,57,33
offside,52,12,,,145611,16180,16177,,,67,17
offside,53,14,,,552660,16177,16180,,,89,39
infraction,54,45,False,False,580562,16180,16177,,hand_foul,93,44
infraction,56,8,False,False,7702,16177,16180,498483.0,regular_foul,42,27
infraction,57,56,False,False,217742,16177,16180,,hand_foul,34,55
infraction,62,44,False,False,217742,16177,16180,498483.0,regular_foul,60,41
offside,63,52,,,145611,16180,16177,,,74,47
infraction,65,18,False,False,145611,16180,16177,145594.0,regular_foul,90,60
infraction,65,28,True,False,145611,16180,16177,7702.0,regular_foul,53,55
infraction,66,26,False,False,145611,16180,16177,,hand_foul,53,46
infraction,66,47,False,False,270308,16180,16177,552660.0,regular_foul,36,6
infraction,67,23,False,False,217742,16177,16180,399492.0,regular_foul,23,33
offside,71,8,,,145611,16180,16177,,,92,39
infraction,73,48,False,False,580572,16180,16177,250180.0,regular_foul,69,89
offside,74,53,,,120662,16177,16180,,,87,50
infraction,78,9,False,False,582282,16177,16180,145611.0,regular_foul,31,18
infraction,79,28,False,False,356212,16180,16177,573635.0,regular_foul,13,19
infraction,81,19,False,False,498483,16180,16177,573635.0,regular_foul,14,12
offside,82,57,,,145611,16180,16177,,,77,43
infraction,85,18,True,False,498483,16180,16177,,late_card_foul,31,91
infraction,88,42,False,False,375326,16180,16177,573635.0,regular_foul,51,79
infraction,90,11,True,False,120662,16177,16180,,out_of_play_foul,99,30
