season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,3,10,False,False,629253,16168,16170,431015.0,regular_foul,32,96
offside,7,6,,,552660,16170,16168,,,83,86
infraction,12,20,False,False,351866,16168,16170,743915.0,regular_foul,31,88
infraction,13,35,False,False,552495,16170,16168,240412.0,regular_foul,62,73
infraction,16,13,False,False,859032,16170,16168,546635.0,regular_foul,73,77
infraction,20,25,False,False,728969,16168,16170,707517.0,regular_foul,62,62
infraction,23,23,False,False,728969,16168,16170,743915.0,regular_foul,67,89
infraction,24,12,False,False,728969,16168,16170,708914.0,regular_foul,81,31
offside,25,7,,,630188,16168,16170,,,92,52
infraction,28,13,False,False,630068,16168,16170,552660.0,regular_foul,33,78
infraction,29,1,False,False,707523,16170,16168,351866.0,regular_foul,87,58
penalty,35,17,False,False,552543,16168,16170,707523.0,regular_foul,11,70
infraction,40,13,False,False,552269,16168,16170,552660.0,regular_foul,20,18
infraction,42,43,False,False,743915,16170,16168,629253.0,regular_foul,44,25
infraction,43,57,False,False,552660,16170,16168,240412.0,regular_foul,22,96
offside,46,36,,,707523,16170,16168,,,80,14
offside,49,22,,,707523,16170,16168,,,68,64
infraction,54,32,False,False,859032,16170,16168,546635.0,regular_foul,75,80
infraction,54,58,True,False,743915,16170,16168,510240.0,regular_foul,9,16
infraction,62,0,True,False,859032,16170,16168,599204.0,regular_foul,25,80
infraction,66,28,False,False,728969,16168,16170,708914.0,regular_foul,65,40
infraction,69,30,False,False,629260,16168,16170,708914.0,regular_foul,90,41
infraction,70,13,False,False,501468,16170,16168,240412.0,regular_foul,34,87
infraction,70,54,False,False,351866,16168,16170,,hand_foul,89,47
offside,72,43,,,707523,16170,16168,,,70,39
infraction,75,8,True,False,728969,16168,16170,707517.0,regular_foul,88,65
infraction,78,50,False,False,629260,16168,16170,708914.0,regular_foul,56,8
infraction,85,31,False,False,629260,16168,16170,629129.0,regular_foul,87,86
infraction,86,4,False,False,629253,16168,16170,743915.0,regular_foul,44,82
infraction,86,29,True,False,772690,16170,16168,568095.0,regular_foul,43,88
infraction,91,54,False,False,707517,16170,16168,568095.0,regular_foul,45,5
infraction,93,25,False,False,552269,16168,16170,607942.0,regular_foul,68,36
