season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,0,55,False,False,25509,16195,16196,,hand_foul,75,12
infraction,2,20,False,False,552547,16195,16196,513824.0,regular_foul,64,97
infraction,2,51,False,False,552270,16196,16195,,hand_foul,71,15
infraction,5,27,False,False,552547,16195,16196,145826.0,regular_foul,80,94
infraction,6,0,False,False,25509,16195,16196,,hand_foul,35,6
infraction,8,23,False,False,120655,16196,16195,0.0,regular_foul,51,58
infraction,9,0,False,False,552547,16195,16196,518759.0,regular_foul,88,14
infraction,9,43,False,False,552547,16195,16196,145826.0,regular_foul,71,93
infraction,16,31,False,False,295918,16196,16195,25509.0,regular_foul,45,30
infraction,17,13,False,False,120655,16196,16195,552549.0,regular_foul,25,45
infraction,18,34,True,False,257473,16195,16196,510240.0,regular_foul,57,50
infraction,21,10,False,False,552270,16196,16195,552545.0,regular_foul,76,35
infraction,25,2,True,False,247040,16195,16196,,protest_foul,68,7
infraction,25,54,False,False,552547,16195,16196,510240.0,regular_foul,48,45
infraction,27,14,False,False,145610,16196,16195,0.0,regular_foul,52,55
infraction,29,34,False,False,295918,16196,16195,552547.0,regular_foul,39,28
infraction,30,32,True,False,543090,16196,16195,,protest_foul,3,50
infraction,31,44,False,False,295918,16196,16195,552549.0,regular_foul,29,38
infraction,33,29,False,False,25509,16195,16196,145610.0,regular_foul,61,32
infraction,34,14,False,False,552547,16195,16196,145826.0,regular_foul,56,65
infraction,37,6,False,False,257473,16195,16196,552060.0,regular_foul,67,28
infraction,37,34,False,False,552549,16195,16196,518759.0,regular_foul,70,18
infraction,39,9,False,False,513824,16196,16195,552549.0,regular_foul,37,28
infraction,39,25,False,False,25509,16195,16196,510240.0,regular_foul,69,21
infraction,39,50,False,False,552545,16195,16196,552270.0,regular_foul,31,60
infraction,44,20,False,False,552060,16196,16195,274798.0,regular_foul,88,11
infraction,45,39,False,False,145826,16196,16195,552549.0,regular_foul,27,76
infraction,46,11,False,False,510240,16196,16195,552559.0,regular_foul,69,71
infraction,47,28,False,False,295918,16196,16195,552549.0,regular_foul,38,13
infraction,50,15,False,False,247040,16195,16196,,hand_foul,69,64
infraction,52,20,False,False,552544,16195,16196,510241.0,regular_foul,30,6
infraction,53,17,False,False,552547,16195,16196,513824.0,regular_foul,25,91
infraction,59,12,False,False,552060,16196,16195,552545.0,regular_foul,61,75
infraction,62,49,False,False,552549,16195,16196,543091.0,regular_foul,89,31
infraction,63,55,True,False,513824,16196,16195,552549.0,regular_foul,63,13
offside,65,59,,,556489,16195,16196,,,96,30
infraction,72,0,False,False,552559,16195,16196,510240.0,regular_foul,31,15
infraction,75,16,False,False,145601,16195,16196,510240.0,regular_foul,72,87
infraction,75,46,False,False,274798,16195,16196,552657.0,regular_foul,33,88
infraction,76,22,False,False,510240,16196,16195,,hand_foul,77,7
infraction,77,4,False,False,552549,16195,16196,510240.0,regular_foul,69,88
infraction,77,22,False,False,274798,16195,16196,552657.0,regular_foul,26,83
offside,80,9,,,145601,16195,16196,,,94,85
infraction,81,2,True,False,120642,16196,16195,247040.0,regular_foul,33,22
infraction,82,14,False,True,247040,16195,16196,552060.0,regular_foul,12,5
infraction,84,57,False,False,552657,16196,16195,552543.0,regular_foul,85,42
infraction,86,16,False,False,552545,16195,16196,543091.0,regular_foul,69,49
infraction,88,30,True,False,552657,16196,16195,,late_card_foul,34,45
infraction,90,29,True,False,518759,16196,16195,552549.0,regular_foul,24,89
