season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
infraction,1,46,False,False,607942,16171,16168,772748.0,regular_foul,37,64
infraction,7,23,False,False,823837,16171,16168,772748.0,regular_foul,47,65
infraction,14,26,False,False,532185,16171,16168,630145.0,regular_foul,77,19
infraction,17,9,False,False,607942,16171,16168,772744.0,regular_foul,31,74
infraction,19,11,False,False,629453,16168,16171,607942.0,regular_foul,63,24
offside,20,8,,,709474,16171,16168,,,89,70
infraction,22,30,False,False,629453,16168,16171,532185.0,regular_foul,51,12
infraction,24,37,False,False,707517,16171,16168,707697.0,regular_foul,23,21
infraction,27,15,False,False,501468,16171,16168,,hand_foul,43,83
infraction,28,15,False,False,629453,16168,16171,856751.0,regular_foul,39,7
infraction,32,10,True,False,809609,16168,16171,,protest_foul,71,29
infraction,34,11,False,False,607942,16171,16168,772748.0,regular_foul,33,64
offside,37,4,,,743915,16171,16168,,,70,33
infraction,38,26,True,False,630145,16168,16171,856751.0,regular_foul,56,88
infraction,40,59,False,False,629453,16168,16171,709474.0,regular_foul,69,14
infraction,45,15,True,False,431015,16171,16168,809609.0,regular_foul,65,26
infraction,47,10,False,False,607942,16171,16168,772743.0,regular_foul,35,25
offside,48,26,,,743915,16171,16168,,,95,50
infraction,53,21,False,False,501468,16171,16168,772744.0,regular_foul,9,88
infraction,55,15,False,False,532185,16171,16168,772745.0,regular_foul,56,39
infraction,58,16,False,False,743915,16171,16168,267055.0,regular_foul,81,86
infraction,65,3,False,False,809611,16168,16171,708914.0,regular_foul,81,86
infraction,70,16,False,False,743915,16171,16168,267055.0,regular_foul,91,48
offside,70,33,,,856697,16168,16171,,,70,29
infraction,78,25,False,False,772744,16168,16171,743915.0,regular_foul,35,24
infraction,83,54,False,False,809611,16168,16171,707517.0,regular_foul,68,91
infraction,85,20,False,False,772743,16168,16171,607942.0,regular_foul,29,27
infraction,86,16,False,False,532185,16171,16168,809611.0,regular_foul,73,32
infraction,87,24,False,False,552660,16171,16168,772743.0,regular_foul,35,26
infraction,88,23,False,False,772744,16168,16171,532185.0,regular_foul,74,18
infraction,88,50,False,False,630145,16168,16171,708914.0,regular_foul,77,95
infraction,96,19,False,False,532185,16171,16168,629107.0,regular_foul,96,49
