season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
offside,2,0,,,413595,16195,16175,,,78,29
infraction,7,51,False,False,430598,16195,16175,552271.0,regular_foul,43,57
infraction,9,9,False,False,599015,16195,16175,552270.0,regular_foul,30,94
offside,14,29,,,413595,16195,16175,,,67,24
infraction,16,14,False,False,552270,16175,16195,589847.0,regular_foul,59,5
offside,23,39,,,437526,16195,16175,,,76,6
infraction,28,12,False,False,26883,16175,16195,437526.0,regular_foul,75,85
infraction,29,44,False,False,26883,16175,16195,437526.0,regular_foul,56,83
infraction,37,1,False,False,552271,16175,16195,430598.0,regular_foul,56,68
infraction,38,12,False,False,552659,16195,16175,510240.0,regular_foul,31,56
infraction,39,48,False,False,510241,16175,16195,599015.0,regular_foul,47,6
infraction,41,1,False,False,552270,16175,16195,,hand_foul,73,13
infraction,41,30,False,False,413595,16195,16175,518759.0,regular_foul,91,16
infraction,42,15,False,False,580553,16195,16175,120655.0,regular_foul,35,12
infraction,44,48,False,False,552271,16175,16195,25828.0,regular_foul,65,53
infraction,45,34,False,False,510240,16175,16195,437526.0,regular_foul,41,88
infraction,46,23,True,False,552271,16175,16195,543097.0,regular_foul,55,88
infraction,50,12,False,False,26883,16175,16195,580553.0,regular_foul,59,36
infraction,51,21,False,False,375346,16195,16175,552060.0,regular_foul,43,6
infraction,56,40,False,False,510240,16175,16195,543097.0,regular_foul,66,97
infraction,58,38,False,False,447747,16175,16195,437526.0,regular_foul,42,93
infraction,60,11,True,False,543097,16195,16175,,out_of_play_foul,6,51
infraction,62,0,False,False,552060,16175,16195,25828.0,regular_foul,74,57
infraction,63,13,False,False,510241,16175,16195,599015.0,regular_foul,46,26
infraction,64,48,True,False,375346,16195,16175,552271.0,regular_foul,12,9
infraction,67,7,False,False,552271,16175,16195,552659.0,regular_foul,87,17
offside,76,56,,,413595,16195,16175,,,76,60
infraction,79,21,False,False,600279,16195,16175,543091.0,regular_foul,67,10
infraction,80,52,True,False,552060,16175,16195,552659.0,regular_foul,43,27
infraction,86,30,True,False,25828,16195,16175,145610.0,regular_foul,75,51
infraction,88,34,False,False,413595,16195,16175,145610.0,regular_foul,87,37
infraction,92,11,False,False,543097,16195,16175,447747.0,regular_foul,9,3
infraction,93,22,False,False,437526,16195,16175,,hand_foul,69,96
